rank,symbol,name,btcturk,paribu,binancetr,bitexen,icrypex,okx,bybit,gate,mexc,kucoin,htx,total
1,BTC,Bitcoin,72531459.02212179,244831298.30381802,0,0,0,199327161.63851556,0,0,0,0,0,516689918.96445537
2,ETH,Ethereum,50680558.023066,130506929.3874,0,0,0,101650829.52229117,0,0,0,0,0,282838316.9327572
3,USDT,Tether,217409924.96600002,314498042.56799996,0,0,0,1065190035.983605,0,0,0,0,0,1597098003.517605
4,XRP,XRP,52870741.7758741,207049489.335,0,0,0,22632281.2473336,0,0,0,0,0,282552512.3582077
5,BNB,BNB,0,0,0,0,0,0,0,0,0,0,0,0
6,USDC,USDC,1505917.3615400002,857882.1479999999,0,0,0,1056034.301901,0,0,0,0,0,3419833.811441
7,SOL,Solana,33692323.295784995,61516302.86726,0,0,0,6146613.70381554,0,0,0,0,0,101355239.86686052
8,TRX,TRON,19106105.02058349,33492356.073599998,0,0,0,251321107.5902723,0,0,0,0,0,303919568.6844558
9,DOGE,Dogecoin,18248578.30327326,81576965.38000001,0,0,0,1110049.838859,0,0,0,0,0,100935593.52213228
10,HYPE,Hyperliquid,0,3032404.898367,0,0,0,946362.12012095,0,0,0,0,0,3978767.01848795
11,ADA,Cardano,7944266.3866005,15382136.4415,0,0,0,67333.156179,0,0,0,0,0,23393735.984279502
12,BCH,Bitcoin Cash,0,6993513.494484,0,0,0,0,0,0,0,0,0,6993513.494484
13,LEO,UNUS SED LEO,0,0,0,0,0,0,0,0,0,0,0,0
14,LINK,Chainlink,3182236.8200999997,18210772.280700002,0,0,0,6775.8299853,0,0,0,0,0,21399784.9307853
15,XMR,Monero,0,0,0,0,0,0,0,0,0,0,0,0
16,USDe,,0,0,0,0,0,0,0,0,0,0,0,0
17,CC,,0,0,0,0,0,246530.857847,0,0,0,0,0,246530.857847
18,XLM,Stellar,3566523.5072423997,3389809.7784,0,0,0,0,0,0,0,0,0,6956333.2856424
19,DAI,Dai,0,0,0,0,0,296536.331642,0,0,0,0,0,296536.331642
20,USD1,,0,0,0,0,0,0,0,0,0,0,0,0
21,LTC,Litecoin,3193594.9323614608,30637041.50188,0,0,0,632301.35179865,0,0,0,0,0,34462937.78604011
22,ZEC,Zcash,0,0,0,0,0,0,0,0,0,0,0,0
23,AVAX,Avalanche,17380602.3204,215676107.7825,0,0,0,473875.13473,0,0,0,0,0,233530585.23763
24,HBAR,Hedera,9424774.26,0,0,0,0,8008.654869,0,0,0,0,0,9432782.914869
25,PYUSD,,0,0,0,0,0,0,0,0,0,0,0,0
26,SUI,Sui,2079780.6077999999,17916888.376799997,0,0,0,54535.995899,0,0,0,0,0,20051204.980498996
27,SHIB,Shiba Inu,9882168.127419999,35208665.628672004,0,0,0,34964.2869732,0,0,0,0,0,45125798.043065205
28,CRO,Cronos,0,0,0,0,0,0,0,0,0,0,0,0
29,TON,Toncoin,1034668.193,3091948.7975,0,0,0,66717.802187,0,0,0,0,0,4193334.792687
30,TAO,Bittensor,0,2646777.3632,0,0,0,0,0,0,0,0,0,2646777.3632
31,WLFI,,8665527.872399999,24877500.400000002,0,0,0,150187.015822,0,0,0,0,0,33693215.288222
32,XAUt,,0,0,0,0,0,0,0,0,0,0,0,0
33,MNT,,904692.4121000001,636553.0680000001,0,0,0,0,0,0,0,0,0,1541245.4801000003
34,DOT,Polkadot,1387222.4844000002,12183486.3094,0,0,0,11.260016,0,0,0,0,0,13570720.053816
35,PAXG,,45467330.75316872,0,0,0,0,2219137.771290328,0,0,0,0,0,47686468.52445904
36,M,,0,0,0,0,0,0,0,0,0,0,0,0
37,UNI,Uniswap,884728.0,18514359.721440002,0,0,0,28349.1415604,0,0,0,0,0,19427436.863000404
38,OKB,OKB,0,0,0,0,0,0,0,0,0,0,0,0
39,NEAR,NEAR Protocol,1423801.464,2071146.7675,0,0,0,1832.040831,0,0,0,0,0,3496780.272331
40,AAVE,Aave,10264270.927365,9284774.70725,0,0,0,11074.32073432,0,0,0,0,0,19560119.95534932
41,USDG,,0,0,0,0,0,0,0,0,0,0,0,0
42,ASTER,,0,420545.83668,0,0,0,378384.574723,0,0,0,0,0,798930.411403
43,PI,,0,0,0,0,0,23168525.854476,0,0,0,0,0,23168525.854476
44,SKY,,5678088.2904,23788927.2,0,0,0,0,0,0,0,0,0,29467015.4904
45,RLUSD,,0,0,0,0,0,0,0,0,0,0,0,0
46,BGB,Bitget Token,0,0,0,0,0,0,0,0,0,0,0,0
47,PEPE,Pepe,60386621.30378248,105592011.8562816,0,0,0,401420.07828631,0,0,0,0,0,166380053.2383504
48,ICP,Internet Computer,0,10177488.71,0,0,0,49050.002797,0,0,0,0,0,10226538.712797001
49,ETC,Ethereum Classic,1468902.333598,0,0,0,0,0,0,0,0,0,0,1468902.333598
50,ONDO,Ondo,1929772.3619999997,2471001.7199999997,0,0,0,89783.096514,0,0,0,0,0,4490557.178513999
51,USDD,,0,0,0,0,0,0,0,0,0,0,0,0
52,WLD,Worldcoin,10162499.106,23227055.4375,0,0,0,238928.033983,0,0,0,0,0,33628482.577483
53,KCS,KuCoin Token,0,0,0,0,0,0,0,0,0,0,0,0
54,KAS,Kaspa,0,0,0,0,0,0,0,0,0,0,0,0
55,POL,Polygon,696763.044,1039448.4892000001,0,0,0,285862.688153,0,0,0,0,0,2022074.221353
56,U,,0,0,0,0,0,0,0,0,0,0,0,0
57,ATOM,Cosmos,1285596.6108000001,2373826.9698,0,0,0,0,0,0,0,0,0,3659423.5806
58,ENA,Ethena,4570391.7532,21531546.435,0,0,0,77522.0345759,0,0,0,0,0,26179460.222775895
59,RENDER,Render,11451409.7061,9040882.9,0,0,0,54485.422742,0,0,0,0,0,20546778.028842002
60,QNT,Quant,2388171.134895,1127678.829939,0,0,0,0,0,0,0,0,0,3515849.964834
61,TRUMP,TRUMP,17863292.5008,44859952.70736,0,0,0,371460.16563123,0,0,0,0,0,63094705.373791225
62,GT,Gate Token,0,0,0,0,0,0,0,0,0,0,0,0
63,ALGO,Algorand,519193.1311596,2127662.5519999997,0,0,0,0,0,0,0,0,0,2646855.6831595995
64,NIGHT,,0,0,0,0,0,243374.363346,0,0,0,0,0,243374.363346
65,APT,Aptos,6328345.806825,74718228.045,0,0,0,286185.51134,0,0,0,0,0,81332759.363165
66,MORPHO,,1902197.16,2673587.9924999997,0,0,0,0,0,0,0,0,0,4575785.1525
67,FLR,,1852809.1047136,756665.4364,0,0,0,0,0,0,0,0,0,2609474.5411136
68,FIL,Filecoin,8641408.072266001,68143194.35000001,0,0,0,288086.29816,0,0,0,0,0,77072688.72042601
69,ZRO,,5312982.843,20289829.99389,0,0,0,7702.077961,0,0,0,0,0,25610514.914851
70,XDC,,0,0,0,0,0,0,0,0,0,0,0,0
71,PUMP,,39055131.0235,109896164.9664,0,0,0,528366.8447065,0,0,0,0,0,149479662.8346065
72,VET,VeChain,0,466954.336,0,0,0,0,0,0,0,0,0,466954.336
73,ARB,Arbitrum,3793575.9066800005,31673041.180000003,0,0,0,38840.818748,0,0,0,0,0,35505457.905428
74,NEXO,Nexo,0,0,0,0,0,0,0,0,0,0,0,0
75,JUP,Jupiter,1727845.425,3587928.1536,0,0,0,870.29595,0,0,0,0,0,5316643.87455
76,STABLE,,0,0,0,0,0,0,0,0,0,0,0,0
77,BONK,Bonk,12434632.867550401,68519676.6314496,0,0,0,165557.55582391,0,0,0,0,0,81119867.0548239
